asset_key,asset_id,system_key,team_key,purchase_date,lifecycle,utilisation
1,ASSET_329F7C2B,20,8,2020-09-24,End-of-life,53.7
2,ASSET_AC1A2747,24,8,2024-09-14,End-of-life,59.31
3,ASSET_23FB8836,4,9,2020-08-06,Midlife,46.25
4,ASSET_144367A2,17,7,2021-08-19,New,43.72
5,ASSET_5C8FDC87,43,7,2021-09-06,Midlife,91.75
6,ASSET_F5325286,37,8,2022-11-09,Midlife,45.88
7,ASSET_18F4092D,50,5,2020-09-18,Midlife,32.78
8,ASSET_EECCC243,28,8,2023-10-19,End-of-life,65.35
9,ASSET_329E5681,23,5,2025-05-11,End-of-life,43.17
10,ASSET_CD528A9E,39,5,2022-06-24,Midlife,90.47
11,ASSET_84D3B285,34,4,2022-04-05,New,33.51
12,ASSET_81471287,18,8,2023-08-20,New,45.86
13,ASSET_7807487F,37,4,2025-07-02,Midlife,90.62
14,ASSET_AFEC96B2,50,9,2021-04-23,End-of-life,58.95
15,ASSET_DFE4AAED,33,4,2021-10-31,End-of-life,75.67
16,ASSET_9AF3F367,46,7,2024-10-13,Midlife,55.47
17,ASSET_C629BCDA,34,10,2021-06-27,End-of-life,44.11
18,ASSET_3FF8FC91,7,10,2023-10-06,End-of-life,74.89
19,ASSET_B4BB9D36,9,6,2023-01-21,End-of-life,34.35
20,ASSET_CEC948E3,37,2,2025-07-13,End-of-life,75.98
21,ASSET_0088E6A5,13,10,2024-10-03,Midlife,57.27
22,ASSET_B127CD2E,43,4,2025-03-21,Midlife,91.38
23,ASSET_34A394DB,47,5,2024-06-23,New,54.27
24,ASSET_2A4A4961,10,7,2022-04-05,End-of-life,76.23
25,ASSET_A85831A8,11,3,2022-02-21,Midlife,73.08
26,ASSET_E3C8C501,6,8,2025-04-09,Midlife,86.19
27,ASSET_CA981EA0,33,9,2024-06-30,End-of-life,78.1
28,ASSET_35164A7B,21,1,2023-12-06,New,66.96
29,ASSET_B655B433,27,4,2022-07-30,New,88.54
30,ASSET_043DB253,16,5,2023-03-15,New,76.13
31,ASSET_7B9945F4,42,7,2025-01-11,End-of-life,78.46
32,ASSET_D41772FC,14,7,2022-08-28,End-of-life,40.65
33,ASSET_99CA8415,11,6,2023-12-25,End-of-life,48.09
34,ASSET_F473764A,33,3,2021-12-09,Midlife,42.08
35,ASSET_DC083D73,9,8,2025-08-06,New,46.81
36,ASSET_204C1639,3,9,2023-05-06,Midlife,41.92
37,ASSET_D5AB11F3,42,4,2024-05-16,New,34.18
38,ASSET_319D7CE9,14,1,2021-03-07,Midlife,39.34
39,ASSET_F17D0904,41,3,2023-08-18,Midlife,65.78
40,ASSET_3234273D,13,5,2025-10-19,New,57.83
41,ASSET_B8D9CB83,46,2,2025-11-03,New,76.26
42,ASSET_2A06E862,8,9,2021-09-20,Midlife,61.16
43,ASSET_FD2A00AF,21,2,2023-08-04,Midlife,50.19
44,ASSET_C1C61F7A,48,2,2022-09-16,Midlife,58.83
45,ASSET_9E3C0D54,8,7,2022-09-19,New,31.61
46,ASSET_B03CF427,17,5,2021-03-28,Midlife,57.18
47,ASSET_DD66A82E,15,5,2025-05-21,New,44.09
48,ASSET_2B2664F9,14,4,2023-04-19,Midlife,72.83
49,ASSET_CC79B261,10,8,2026-01-06,New,33.95
50,ASSET_E280A5FF,28,3,2022-06-10,New,67.6
51,ASSET_51063F90,21,8,2022-09-01,Midlife,45.61
52,ASSET_DF37CB07,42,10,2023-11-16,End-of-life,40.94
53,ASSET_7048BB9F,14,1,2023-06-15,End-of-life,45.15
54,ASSET_3C039F56,41,2,2024-02-06,Midlife,73.46
55,ASSET_5DB1A355,31,4,2022-09-16,Midlife,31.15
56,ASSET_B1199666,35,4,2020-11-14,End-of-life,76.16
57,ASSET_886F9F01,38,6,2022-05-04,Midlife,48.02
58,ASSET_389286FC,1,6,2023-07-20,End-of-life,94.3
59,ASSET_E517FF9D,24,4,2025-05-20,New,46.66
60,ASSET_3E695FCF,21,2,2023-09-30,End-of-life,85.58
61,ASSET_063079F3,30,9,2023-02-05,Midlife,67.86
62,ASSET_5985CDC9,13,10,2021-06-26,Midlife,33.94
63,ASSET_20A78ACC,39,6,2023-09-26,End-of-life,80.64
64,ASSET_6F55DED5,43,6,2022-01-06,Midlife,53.99
65,ASSET_3C992522,19,7,2023-11-17,New,88.83
66,ASSET_01EB43DB,17,2,2022-10-23,Midlife,81.68
67,ASSET_AF02D904,7,7,2025-11-05,New,39.4
68,ASSET_04B0789D,38,1,2024-04-13,Midlife,64.56
69,ASSET_D2B0ECD5,45,1,2022-05-13,End-of-life,54.82
70,ASSET_574A8FC7,19,3,2023-05-24,New,50.57
71,ASSET_F266C77E,49,10,2020-12-06,End-of-life,69.75
72,ASSET_78BB7327,33,7,2026-01-17,New,34.31
73,ASSET_36504E88,9,10,2024-11-11,End-of-life,72.47
74,ASSET_C27A7B2F,30,6,2022-02-02,New,79.28
75,ASSET_7B47A592,27,6,2021-10-28,Midlife,55.29
76,ASSET_03A677B2,16,7,2023-05-30,End-of-life,71.72
77,ASSET_5CA8FF23,5,1,2021-04-02,Midlife,41.86
78,ASSET_F783787C,19,6,2023-11-24,End-of-life,68.06
79,ASSET_8E1A6BAC,23,4,2024-04-06,End-of-life,56.21
80,ASSET_0CFB3AD4,18,3,2022-06-22,New,43.27
