time_key,date_id,year,quarter,month,month_name,day,day_of_week
1,2024-01-01,2024,1,1,January,1,Monday
2,2024-01-02,2024,1,1,January,2,Tuesday
3,2024-01-03,2024,1,1,January,3,Wednesday
4,2024-01-04,2024,1,1,January,4,Thursday
5,2024-01-05,2024,1,1,January,5,Friday
6,2024-01-06,2024,1,1,January,6,Saturday
7,2024-01-07,2024,1,1,January,7,Sunday
8,2024-01-08,2024,1,1,January,8,Monday
9,2024-01-09,2024,1,1,January,9,Tuesday
10,2024-01-10,2024,1,1,January,10,Wednesday
11,2024-01-11,2024,1,1,January,11,Thursday
12,2024-01-12,2024,1,1,January,12,Friday
13,2024-01-13,2024,1,1,January,13,Saturday
14,2024-01-14,2024,1,1,January,14,Sunday
15,2024-01-15,2024,1,1,January,15,Monday
16,2024-01-16,2024,1,1,January,16,Tuesday
17,2024-01-17,2024,1,1,January,17,Wednesday
18,2024-01-18,2024,1,1,January,18,Thursday
19,2024-01-19,2024,1,1,January,19,Friday
20,2024-01-20,2024,1,1,January,20,Saturday
21,2024-01-21,2024,1,1,January,21,Sunday
22,2024-01-22,2024,1,1,January,22,Monday
23,2024-01-23,2024,1,1,January,23,Tuesday
24,2024-01-24,2024,1,1,January,24,Wednesday
25,2024-01-25,2024,1,1,January,25,Thursday
26,2024-01-26,2024,1,1,January,26,Friday
27,2024-01-27,2024,1,1,January,27,Saturday
28,2024-01-28,2024,1,1,January,28,Sunday
29,2024-01-29,2024,1,1,January,29,Monday
30,2024-01-30,2024,1,1,January,30,Tuesday
31,2024-01-31,2024,1,1,January,31,Wednesday
32,2024-02-01,2024,1,2,February,1,Thursday
33,2024-02-02,2024,1,2,February,2,Friday
34,2024-02-03,2024,1,2,February,3,Saturday
35,2024-02-04,2024,1,2,February,4,Sunday
36,2024-02-05,2024,1,2,February,5,Monday
37,2024-02-06,2024,1,2,February,6,Tuesday
38,2024-02-07,2024,1,2,February,7,Wednesday
39,2024-02-08,2024,1,2,February,8,Thursday
40,2024-02-09,2024,1,2,February,9,Friday
41,2024-02-10,2024,1,2,February,10,Saturday
42,2024-02-11,2024,1,2,February,11,Sunday
43,2024-02-12,2024,1,2,February,12,Monday
44,2024-02-13,2024,1,2,February,13,Tuesday
45,2024-02-14,2024,1,2,February,14,Wednesday
46,2024-02-15,2024,1,2,February,15,Thursday
47,2024-02-16,2024,1,2,February,16,Friday
48,2024-02-17,2024,1,2,February,17,Saturday
49,2024-02-18,2024,1,2,February,18,Sunday
50,2024-02-19,2024,1,2,February,19,Monday
51,2024-02-20,2024,1,2,February,20,Tuesday
52,2024-02-21,2024,1,2,February,21,Wednesday
53,2024-02-22,2024,1,2,February,22,Thursday
54,2024-02-23,2024,1,2,February,23,Friday
55,2024-02-24,2024,1,2,February,24,Saturday
56,2024-02-25,2024,1,2,February,25,Sunday
57,2024-02-26,2024,1,2,February,26,Monday
58,2024-02-27,2024,1,2,February,27,Tuesday
59,2024-02-28,2024,1,2,February,28,Wednesday
60,2024-02-29,2024,1,2,February,29,Thursday
61,2024-03-01,2024,1,3,March,1,Friday
62,2024-03-02,2024,1,3,March,2,Saturday
63,2024-03-03,2024,1,3,March,3,Sunday
64,2024-03-04,2024,1,3,March,4,Monday
65,2024-03-05,2024,1,3,March,5,Tuesday
66,2024-03-06,2024,1,3,March,6,Wednesday
67,2024-03-07,2024,1,3,March,7,Thursday
68,2024-03-08,2024,1,3,March,8,Friday
69,2024-03-09,2024,1,3,March,9,Saturday
70,2024-03-10,2024,1,3,March,10,Sunday
71,2024-03-11,2024,1,3,March,11,Monday
72,2024-03-12,2024,1,3,March,12,Tuesday
73,2024-03-13,2024,1,3,March,13,Wednesday
74,2024-03-14,2024,1,3,March,14,Thursday
75,2024-03-15,2024,1,3,March,15,Friday
76,2024-03-16,2024,1,3,March,16,Saturday
