change_id,system_key,team_key,implementation_time,change_type,success_flag,linked_incident_count,time_key
CHG_251AC12CD3,36,3,2025-05-01,Normal,1,0,487
CHG_AD1CAF14B0,40,6,2025-01-23,Normal,1,0,389
CHG_24D64AE984,42,3,2025-11-14,Standard,1,0,684
CHG_F24B262B61,23,2,2025-02-16,Emergency,1,0,413
CHG_C98507DC3A,21,4,2025-10-07,Emergency,1,0,646
CHG_C5E8541EFD,13,10,2024-09-30,Standard,1,0,274
CHG_3942435287,16,8,2024-03-09,Normal,0,0,69
CHG_5043D26EC5,3,1,2025-11-12,Normal,1,0,682
CHG_8384A97147,39,9,2025-04-13,Emergency,1,0,469
CHG_0E743384C9,41,8,2024-09-10,Emergency,1,0,254
CHG_18E249CEE6,39,3,2024-04-15,Emergency,1,0,106
CHG_CFCF32B808,1,6,2024-07-25,Standard,1,0,207
CHG_C41FB7066D,38,6,2024-02-17,Emergency,1,0,48
CHG_B030FE52A3,48,5,2024-01-28,Normal,1,0,28
CHG_AF42822286,30,3,2024-06-11,Normal,0,0,163
CHG_981EDAFE43,4,7,2024-07-05,Emergency,0,0,187
CHG_4CE2EE6335,17,3,2025-05-13,Standard,1,0,499
CHG_76CBA91530,23,5,2024-06-04,Standard,1,0,156
CHG_4790C7E434,46,9,2025-10-25,Normal,1,3,664
CHG_E74C9E9DCB,21,6,2025-04-29,Normal,1,0,485
CHG_2476AA8B65,30,2,2025-10-18,Standard,1,0,657
CHG_887C2F32B8,45,6,2025-05-21,Standard,1,0,507
CHG_A94EF7F0E3,32,9,2024-10-02,Standard,1,0,276
CHG_9B4A7E78D8,48,10,2024-08-05,Normal,1,0,218
CHG_8D43D1C146,19,5,2024-11-19,Emergency,1,0,324
CHG_800CB89561,7,6,2024-12-14,Normal,0,0,349
CHG_54C878E85E,3,2,2024-02-04,Normal,1,0,35
CHG_46386C039E,24,10,2024-02-16,Normal,1,0,47
CHG_DB954FDD24,29,7,2024-05-11,Normal,0,0,132
CHG_2D7CF14275,48,8,2025-07-29,Normal,1,0,576
CHG_F33F97100C,18,3,2024-03-20,Emergency,1,0,80
CHG_7410B46C44,34,1,2025-10-04,Normal,1,1,643
CHG_5AE225BB26,43,5,2024-09-29,Standard,1,3,273
CHG_A92E90BE1C,2,1,2025-01-14,Standard,0,0,380
CHG_A060607D84,9,9,2025-06-12,Normal,1,0,529
CHG_0706135AF9,31,4,2024-08-22,Normal,1,0,235
CHG_62A52EF8F7,22,7,2025-04-16,Emergency,1,0,472
CHG_CE46680B5D,31,5,2025-07-03,Emergency,1,0,550
CHG_DD9CE15B6C,31,7,2024-05-01,Normal,1,0,122
CHG_5EA8D3262C,11,8,2024-05-01,Standard,1,0,122
CHG_CD997DF99A,14,10,2025-04-21,Normal,1,2,477
CHG_B81D6C0D12,35,5,2025-10-20,Standard,0,3,659
CHG_A8CF678D1E,36,10,2024-11-19,Normal,1,0,324
CHG_ED8866FDCC,25,8,2025-09-24,Emergency,1,0,633
CHG_20A26206CB,15,3,2024-05-13,Standard,1,3,134
CHG_2B8D10D67C,2,5,2025-06-16,Normal,1,0,533
CHG_DD23B6E1A3,7,5,2024-12-02,Standard,1,0,337
CHG_D3BF1BC0DF,32,10,2024-09-14,Standard,0,0,258
CHG_45363C72B9,48,5,2025-01-18,Normal,1,0,384
CHG_62B98A8FDA,9,2,2025-08-28,Emergency,1,0,606
CHG_8D518108D8,40,1,2024-02-07,Standard,1,0,38
CHG_BB59669423,20,9,2024-04-07,Emergency,1,0,98
CHG_1E0E29A7E2,45,4,2024-05-27,Emergency,1,0,148
CHG_781BAA893E,1,4,2025-06-25,Emergency,1,0,542
CHG_EF422C8651,29,9,2024-03-04,Standard,1,0,64
CHG_862E29B251,9,7,2025-03-21,Standard,1,3,446
CHG_C3B3C9AEF4,33,9,2025-03-27,Emergency,1,0,452
CHG_E96FCE1480,1,10,2024-03-22,Standard,0,0,82
CHG_9EBDD66B54,43,1,2024-02-22,Normal,1,0,53
CHG_5C10645B8A,45,3,2025-08-26,Standard,1,0,604
CHG_E42CD9BD50,40,5,2024-07-12,Emergency,0,1,194
CHG_3A40C2E6B6,1,9,2024-02-04,Normal,1,0,35
CHG_32A0EF11D6,18,5,2024-09-24,Standard,1,0,268
CHG_478988417E,43,3,2025-02-08,Standard,1,0,405
CHG_B943B3E6F7,25,6,2024-04-02,Standard,1,0,93
CHG_03C13A8859,7,1,2025-09-06,Normal,1,0,615
CHG_49360721CB,43,9,2024-12-31,Emergency,0,0,366
CHG_0002308AED,29,2,2024-09-04,Emergency,1,0,248
CHG_E4A1D67394,19,6,2025-06-21,Emergency,1,0,538
CHG_709AEDFBA3,19,7,2024-09-27,Standard,1,0,271
CHG_D34BC213DC,38,3,2024-04-12,Normal,1,0,103
CHG_FF52327482,28,3,2025-05-02,Standard,1,0,488
CHG_9274ADAAD6,12,3,2024-12-19,Emergency,1,0,354
CHG_E82DC1F2D9,5,5,2025-09-23,Emergency,1,3,632
CHG_74B175F1EF,5,1,2024-04-05,Emergency,1,0,96
CHG_AEC851DCAB,46,10,2025-02-20,Normal,1,3,417
CHG_DADA73AD61,27,6,2025-01-19,Normal,1,0,385
CHG_26A510A4FE,22,7,2024-07-04,Emergency,0,0,186
CHG_D9BECD213E,49,10,2024-05-25,Standard,1,0,146
CHG_6AB7D9D1A7,12,1,2024-01-24,Emergency,0,0,24
CHG_BFAB0892F7,21,4,2025-03-16,Normal,1,0,441
CHG_E03C0724B7,22,1,2025-11-07,Normal,1,0,677
CHG_0360FA0BC9,34,1,2024-03-04,Normal,1,1,64
CHG_2BB97B2030,33,2,2024-04-10,Normal,1,0,101
CHG_B343B8392C,42,2,2025-09-17,Emergency,1,0,626
CHG_017F56E893,48,10,2024-11-14,Standard,1,0,319
CHG_F42D07110F,9,4,2024-05-24,Emergency,0,0,145
CHG_66C51B39C9,44,1,2024-11-23,Emergency,1,0,328
CHG_F84F6044A0,28,10,2024-01-13,Standard,0,1,13
CHG_3F606B4EE2,44,1,2024-05-02,Normal,1,0,123
CHG_D6FDCB9471,17,1,2024-06-01,Emergency,1,0,153
CHG_415EABFA6D,40,9,2024-01-08,Normal,1,0,8
CHG_B8A35EA12D,14,7,2024-02-27,Standard,1,0,58
CHG_8419FDFA88,43,4,2025-04-19,Normal,1,0,475
CHG_05D158EAF7,1,9,2025-01-17,Standard,1,0,383
CHG_C3AB562E60,48,8,2025-03-08,Emergency,1,0,433
CHG_CE720D1E9A,14,4,2025-01-30,Emergency,1,0,396
CHG_F9DA34698E,31,1,2024-03-10,Standard,1,0,70
CHG_27FC6E053D,15,8,2025-01-18,Standard,1,0,384
CHG_5C7A19BAFB,9,8,2025-10-22,Normal,1,1,661
CHG_1504418E27,19,2,2024-04-19,Emergency,1,0,110
CHG_40A184E18D,1,2,2024-03-30,Normal,1,3,90
CHG_E2BEA753AE,44,4,2025-01-26,Normal,1,0,392
CHG_617C9E8D7D,27,2,2024-03-08,Normal,1,0,68
CHG_B9037252FB,24,6,2024-12-01,Standard,1,0,336
CHG_A59AE8F90D,22,9,2024-04-04,Normal,1,0,95
CHG_C241174DE9,32,3,2025-06-02,Emergency,1,2,519
CHG_15CFA7525D,30,4,2025-05-01,Standard,1,0,487
CHG_8D13C6292B,16,6,2025-04-12,Normal,1,3,468
CHG_7CA3FFB76A,37,5,2024-04-16,Emergency,0,0,107
CHG_CC806CD9E6,19,3,2025-03-18,Normal,1,3,443
CHG_D9B5156F99,50,4,2025-07-10,Normal,1,0,557
CHG_B43AACEA52,13,5,2025-03-23,Standard,0,0,448
CHG_0EA8FE6B7C,28,4,2025-02-02,Standard,1,0,399
CHG_A2213D5D96,11,3,2024-06-11,Standard,1,0,163
CHG_E3EFD43ADB,15,4,2025-06-23,Standard,0,3,540
CHG_997B57DCF7,36,5,2025-01-30,Standard,0,0,396
CHG_EE7ABFD1BE,28,7,2025-09-06,Normal,1,0,615
CHG_D4D77C11F0,19,8,2025-03-30,Normal,1,2,455
CHG_89F1234DCB,46,9,2025-09-07,Normal,0,0,616
CHG_46FFE3B7F9,25,2,2025-08-28,Emergency,0,0,606
CHG_7ED247AC3F,33,3,2024-12-22,Normal,0,0,357
CHG_208863835E,48,4,2024-07-21,Normal,1,0,203
CHG_6D71179C66,19,2,2024-01-16,Normal,1,0,16
CHG_3C0F144FDA,39,9,2025-09-29,Standard,0,0,638
CHG_86AAB50458,29,4,2025-01-19,Emergency,1,0,385
CHG_D6F85F1A79,2,1,2024-03-16,Normal,1,0,76
CHG_33A3922AE2,9,3,2025-06-15,Standard,1,0,532
CHG_FCE5A2418C,25,4,2025-10-30,Standard,1,0,669
CHG_DA46C9F92C,16,5,2024-07-29,Normal,1,0,211
CHG_68CAEA8790,6,10,2024-01-15,Emergency,1,0,15
CHG_5B2A11A3EF,21,8,2024-02-04,Normal,1,0,35
CHG_0C44C2D79B,2,1,2025-10-11,Standard,0,0,650
