time_key,system_key,team_key,target_resolution_hours,actual_resolution_hours,sla_breach_percentage
1,1,1,24.0,23.45,0.4
32,1,1,24.0,25.87,0.16
61,1,1,24.0,21.39,0.39
92,1,1,24.0,20.99,0.1
122,1,1,24.0,22.51,0.11
153,1,1,24.0,24.16,0.25
183,1,1,24.0,21.32,0.42
214,1,1,24.0,22.16,0.23
245,1,1,24.0,25.64,0.51
275,1,1,24.0,18.44,0.7
306,1,1,24.0,19.91,0.66
336,1,1,24.0,18.27,1.16
367,1,1,24.0,21.71,2.58
398,1,1,24.0,21.53,0.99
426,1,1,24.0,21.83,0.17
457,1,1,24.0,22.59,0.4
487,1,1,24.0,18.87,0.74
518,1,1,24.0,21.68,0.29
548,1,1,24.0,25.9,0.77
579,1,1,24.0,22.51,0.21
610,1,1,24.0,24.47,0.16
640,1,1,24.0,18.01,0.61
671,1,1,24.0,24.15,0.83
701,1,1,24.0,19.79,0.14
1,1,2,24.0,22.17,0.11
32,1,2,24.0,18.64,1.38
61,1,2,24.0,23.9,0.51
92,1,2,24.0,25.17,1.14
122,1,2,24.0,23.88,0.12
153,1,2,24.0,22.49,0.55
183,1,2,24.0,21.11,0.28
214,1,2,24.0,20.2,1.26
245,1,2,24.0,25.56,0.5
275,1,2,24.0,19.6,2.06
306,1,2,24.0,19.13,0.11
336,1,2,24.0,25.83,0.49
367,1,2,24.0,18.18,0.18
398,1,2,24.0,18.2,0.53
426,1,2,24.0,18.26,0.54
457,1,2,24.0,23.31,0.13
487,1,2,24.0,20.6,0.68
518,1,2,24.0,23.31,1.46
548,1,2,24.0,25.8,0.22
579,1,2,24.0,21.4,0.3
610,1,2,24.0,24.74,0.68
640,1,2,24.0,18.82,0.21
671,1,2,24.0,22.18,0.41
701,1,2,24.0,23.76,1.16
1,1,3,24.0,25.68,1.56
32,1,3,24.0,21.7,0.73
61,1,3,24.0,24.6,0.5
92,1,3,24.0,23.27,1.12
122,1,3,24.0,19.47,1.07
153,1,3,24.0,25.67,0.16
183,1,3,24.0,25.12,0.51
214,1,3,24.0,20.99,0.3
245,1,3,24.0,20.85,1.99
275,1,3,24.0,25.69,1.2
306,1,3,24.0,23.94,1.42
336,1,3,24.0,22.63,3.26
367,1,3,24.0,20.8,0.28
398,1,3,24.0,22.73,1.19
426,1,3,24.0,25.2,0.57
457,1,3,24.0,19.03,0.8
487,1,3,24.0,20.83,1.21
518,1,3,24.0,19.7,1.07
548,1,3,24.0,25.57,0.83
